headline,tag,date
coronavirus news: teen successfully treated for covid-19 with blood cleaning therapy,__label__healthcare,2020-04-21
coronavirus updates: new york aims to double testing capacity as death toll rises,__label__healthcare,2020-04-21
coronavirus: plasma treatment to be trialled,__label__healthcare,2020-04-21
a 19th-century treatment is being used to battle coronavirus infections | coronavirus newsletter,__label__healthcare,2020-04-21
bigger checks? relief for states? what could be in the next coronavirus bill,__label__healthcare,2020-04-21
"coronavirus daily news updates, april 21: what to know today about covid-19 in the seattle area, washington state and the nation",__label__healthcare,2020-04-21
utah health officials plan to buy 200k doses of unproven treatment for covid-19,__label__healthcare,2020-04-21
doj clears u.s. drug companies to distribute hydroxychloroquine to coronavirus patients,__label__healthcare,2020-04-21
pandemic could cause famines of 'biblical proportions',__label__healthcare,2020-04-21
"live coronavirus updates for tuesday, april 21: five new deaths reported but new cases drop; some law school grads will get to practice without passing bar exam",__label__healthcare,2020-04-21
coronavirus israel live: netanyahu announces lockdown on independence day,__label__healthcare,2020-04-21
coronavirus protests: the moment a man in scrubs confronts drivers,__label__healthcare,2020-04-21
experimental coronavirus treatment colchicine to be sent to patients' homes hours after covid-19 diagnosis,__label__healthcare,2020-04-21
"in two states, a vast testing gap shows what it means to have no national strategy",__label__healthcare,2020-04-21
bad bunny and other global artists sing about coronavirus prevention : goats and soda,__label__healthcare,2020-04-21
"physical therapists, chiropractors teach diy treatments during coronavirus",__label__healthcare,2020-04-21
"c.d.c. labs were contaminated, delaying coronavirus testing, officials say",__label__healthcare,2020-04-21
"cdc director warns second wave of coronavirus is likely to be even more devastating, coronavirus second wave may be even worse: us health chief, california recommends virus tests for some with no symptoms, cdc chief says there could be second, possibly worse coronavirus outbreak this winter",__label__healthcare,2020-04-21
"coronavirus panel recommends against use of hydroxychloroquine and azithromycin : coronavirus live updates, more deaths, no benefit from malaria drug in va virus study, sanjay gupta breaks down the most important findings from new unpublished hydroxychloroquine study, study finds no benefit, higher death rate in patients taking hydroxychloroquine for covid-19",__label__healthcare,2020-04-21
"director of key us vaccine agency leaves role suddenly amid coronavirus, director of key trump administration vaccine agency suddenly departs, update 1-us replaces director of agency overseeing covid-19 vaccines, drugs, director of agency behind vaccine development leaves role | thehill, director of us agency key to vaccine development leaves role suddenly",__label__healthcare,2020-04-21
"new u.s. treatment guidelines for covid-19 don’t see much progress, expert u.s. panel develops nih treatment guidelines for covid-19, nih treatment guidelines for covid-19 developed by expert panel, nih recommends against combining hydroxychloroquine with z-pak to treat covid-19 | thehill, nih creates ""living document"" of treatment guidelines for coronavirus",__label__healthcare,2020-04-21
"nurses read names of colleagues who died of covid-19 in protest outside white house, 'we're beyond angered': fed-up nurses file lawsuits, plan protest at white house over lack of coronavirus protections, white house touts aid to michigan as nurses call for more protective equipment",__label__healthcare,2020-04-21
"mcdonald's to give free 'thank you meals' for first responders, health care workers starting wednesday, mcdonald’s to give free ‘thank you’ meals to healthcare workers, first responders from april 22 to may 5, ad of the week: mcdonald's serves those serving the country in nostalgic spot",__label__healthcare,2020-04-21
"california announces early coronavirus death; trump narrows immigration ban, trump says immigration order will apply only to green cards and will last 60 days, dale wilcox: trump's coronavirus immigration halt is legal and necessary, trump can’t defeat the coronavirus. but he can wage war on immigrants.",__label__healthcare,2020-04-21
"coronavirus has mutated into at least 30 different strains study finds, coronavirus has mutated into at least 30 different strains, study finds, coronavirus: covid-19 has mutated to at least 30 different strains, study reveals, coronavirus: scientists in china find 33 mutations of virus in warning to vaccine developers, scientists: the coronavirus has already mutated into 30+ strains",__label__healthcare,2020-04-21
"kentucky sees highest spike in coronavirus cases after protests against lockdown | thehill, kentucky sees spike in coronavirus cases, prompting beshear to keep lockdown in place despite protests, letters to the editor: kentucky is not southern; beshear has made mistakes, for all of us, covid-19 should be another reminder of structural inequities in our society",__label__healthcare,2020-04-21
"chinese doctors' skin turns dark after coronavirus recovery, coronavirus and the laboratories in wuhan, china releases rare footage of tests inside coronavirus lab",__label__healthcare,2020-04-21
why covid-19 makes some people sicker than others,__label__healthcare,2020-04-21
"how coronavirus infected some, but not all, in a restaurant, air-conditioning spread covid-19 to 9 people in a restaurant in china - business insider, air conditioning spread the coronavirus to 10 people sitting near an infected person in a restaurant. it has huge implications for the service industry., coronavirus china: restaurant air con spread illness to nine",__label__healthcare,2020-04-21
"first pittsburgh patients treated with plasma from coronavirus survivors at upmc, upmc says feared coronavirus surge ‘simply hasn’t happened’, will resume elective surgeries, upmc says it will test all patients for covid-19 coming in for procedures, upmc to begin testing all patients for covid-19",__label__healthcare,2020-04-21
"trump says coronavirus hospital ship usns comfort will leave new york city, trump: hospital ship usns comfort could leave new york city soon, trump pledges to help n.y. double virus testing, cuomo says, what nyc needs from dc: what gov. cuomo shared with president trump",__label__healthcare,2020-04-21
"good news on remdesivir's power to treat covid-19, experimental anti-viral drug remdesivir used to treat covid-19 patients, biotech etfs gaining on progress in coronavirus treatment, scaling up remdesivir amid the coronavirus crisis, there's more to gilead sciences' remdesivir data than meets the eye",__label__healthcare,2020-04-21
"coronavirus nc: decision on gov. cooper's stay-at-home order expected later this week, coronavirus cases rising at state women’s prison in raleigh, over 500 covid-19 cases in wayne county, most at prison",__label__healthcare,2020-04-21
"thief swipes puppy from home of nurse treating coronavirus patients, police call on public to help find a puppy stolen from the home of an er nurse helping fight coronavirus, 11-week-old puppy stolen from er nurse’s home, police search for suspect who stole e.r. nurse’s puppy from concord home, coronavirus: puppy stolen from garage of er nurse's home in concord",__label__healthcare,2020-04-21
"coronavirus vaccine update as 70 potential treatments being rapidly developed across the globe, coronavirus: could the pandemic be controlled using existing vaccines like mmr or bcg?, when quarantine ends, this is how to see friends and family",__label__healthcare,2020-04-21
"antibody tests could be key to reopening the country. here's how they work., the researchers taking a gamble with antibody tests for coronavirus, uc san diego health launches coronavirus antibody testing (kpbs midday edition segments)",__label__healthcare,2020-04-21
"nearly entire crew of coronavirus-stricken aircraft carrier tested, 9 treated for symptoms, navy delays plans to move sailors back onto uss theodore roosevelt after coronavirus outbreak, sailors keep testing positive on aircraft carrier, despite 2-week isolation, navy puts surgical mask on its logo and; social media responses go about as expected, air force building guam hospital for uss theodore roosevelt sailors with coronavirus",__label__healthcare,2020-04-21
"head of china's cdc defends country's response to coronavirus, tom cotton accuses china of intentionally seeding coronavirus cases in other countries to maintain power, china can’t be ‘scapegoated’ if it’s actually guilty, newt gingrich: coronavirus and china – why lawsuits should be one way to make country pay for pandemic",__label__healthcare,2020-04-21
"help! my mask fogs my glasses, coronavirus face mask causing glasses to fog? here’s how to prevent misty lenses, how to stop a coronavirus face mask from fogging up your glasses, here's how to keep your face mask from fogging up your eyeglasses, how to wear a face mask and not fog glasses",__label__healthcare,2020-04-21
"health workers face anti-lockdown protesters in dramatic photos, the story behind viral photos taken during denver's stay-home order protest, colorado coronavirus updates: what you need to know today, health care workers stand up to people protesting stay-at-home orders",__label__healthcare,2020-04-21
"ny issues do-not-resuscitate guideline for cardiac patients amid coronavirus, new york health officials issue do not resuscitate guidelines for any patient found without a pulse, ny issues do-not-resuscitate guideline for cardiac arrests, covid 19 coronavirus: new york paramedics ordered not to resuscitate cardiac patients",__label__healthcare,2020-04-21
"singapore lost control of its coronavirus outbreak, and migrant workers are the victims, singapore was the poster child of coronavirus mitigation. but now it's the most affected country in sea., weighing singapore's response to the covid-19 pandemic, opinion news and; top stories",__label__healthcare,2020-04-21
"fda approves first coronavirus test for at-home use, fda authorizes first at-home coronavirus test, f.d.a. authorizes first in-home test for coronavirus, u.s. approves first coronavirus test that allows self-swab at home",__label__healthcare,2020-04-21
"protests erupt again over coronavirus shelter-in-place orders. here's why some governors aren't budging, trump starts new coronavirus feud with maryland gov. larry hogan, maryland secures half a million coronavirus test kits from south korea : coronavirus live updates, hogans crush trump on coronavirus tests and trust | commentary, our say: coronavirus protestors in annapolis show disregard for human life",__label__healthcare,2020-04-21
"senate passes $484 billion coronavirus bill for small business and hospital relief, testing, senate approves $480 billion package to help small businesses and hospitals, expand testing, us senate approves new $480b pandemic relief plan - the jakarta post, billions more aid is coming for small businesses, hospitals and testing",__label__healthcare,2020-04-21
"amazon and target workers plan 'sickouts' over coronavirus safety concerns, 'we can do better': amazon warehouse workers stage largest protest since coronavirus outbreak, amazon warehouse workers plan nationwide protest this week to demand coronavirus protections, amazon will not change without a union, amazon workers call off work over alleged lack of safety protocols",__label__healthcare,2020-04-21
"plasma may be the best option in the fight against covid-19, but don't celebrate just yet, hundreds receive plasma from recovered coronavirus patients in national study, microsoft's plasma bot recruits recovered covid-19 patients for blood donations, couple donates plasma to help covid-19 patients",__label__healthcare,2020-04-21
"hiv and flu drugs prove futile in fight against coronavirus, not effective: two existing antiviral drugs were tested for mild-to-moderate covid-19, lopinavir/ritonavir, arbidol aren't effective for mild-to-moderate covid-19 cases, new study finds, lopinavir/ritonavir and arbidol not effective for mild-to-moderate covid-19 in adults, hiv-drug combo, touted as a promising covid-19 treatment, fails clinical trial",__label__healthcare,2020-04-21
"is this covid-19 mask efficacy chart accurate?, here's how to wear a face mask properly, according to medical experts, face masks: should i wear a mask? when and how to use face masks, betsy mccaughey: public being misled about masks",__label__healthcare,2020-04-21
"the bronx, long a symbol of american poverty, is now new york city’s coronavirus capital, severe thunderstorms bring heavy rain, wind across the bronx, tornado warning issued for manhattan, the bronx amid fierce thunderstorm, golf ball size hail, tornado warning cancellation in elk city; metro area under severe thunderstorm watch, cold front brings thunderstorms, gusty winds to parts of westchester",__label__healthcare,2020-04-21
"inslee says elective surgeries, outdoor recreation and some construction could restart as washington begins to recover from coronavirus, gov. jay inslee says washington stay-home order will last beyond may 4 end date, protests against stay-at-home orders ramp up in washington state, washington's covid-19 outbreak may be slowing but social distancing must persist, gov. inslee says",__label__healthcare,2020-04-21
"which nursing homes have confirmed coronavirus cases? maryland officials won’t say., chestertown spy covid-19 daily mid-shore update for april 20 (3 pm), more coronavirus cases reported in long-term care facilities, as carroll county shares less data",__label__healthcare,2020-04-21
"madagascar president launches coronavirus 'remedy', madagascar president claims country developed herbal tea remedy for coronavirus, madagascar president backs unproven herbal treatment for coronavirus, madagascar president launches coronavirus 'remedy'",__label__healthcare,2020-04-21
"coronavirus tests were delayed by contamination at cdc lab, report says, second coronavirus wave could be deadlier, cdc chief warns, 2nd coronavirus wave could hit us harder than current outbreak: cdc director - business insider, how can i find a coronavirus testing site near me and check wait times?, overnight healthcare: senate passes $484b coronavirus relief package | georgia faces pressure to reconsider its reopening | cdc director warns second wave of coronavirus might be 'more difficult' | thehill",__label__healthcare,2020-04-21
"nc coronavirus updates: number of cases tops 7,100, coronavirus live updates: here’s what to know in south carolina on april 21, coronavirus has claimed more lives in nc than the winding down flu season, data show, is that a llama next to karen? rental animals available to liven up virtual meetings, the observer is adding reporters who will help cover coronavirus impact and recovery. we need your...",__label__healthcare,2020-04-21
"coronavirus deaths reach 39 in tri-cities. more cases at tyson and in health workers, 727 cases of coronavirus in tri-cities despite social distancing guidelines, 727 cases of covid-19 in tri-cities area; 38 have died, all tyson workers at plant near tri-cities to be tested for coronavirus. cases reach 100, tri-cities mom starts petition against sex ed bill signed by gov. inslee",__label__healthcare,2020-04-21
"corporate america seeks legal protection for when coronavirus lockdowns lift, most americans don't think gatherings will be safe until at least june: poll | thehill, as some states begin to loosen covid restrictions, most americans say it’s not safe, majority of americans don't expect gatherings of 10 or more people to be safe until june or later, poll finds, poll: most americans ready for social gatherings by june's end",__label__healthcare,2020-04-21
"milwaukee claims 7 coronavirus cases tied to controversial wisconsin election, coronavirus updates: wisconsin officials say 7 virus cases may be related to in-person voting, health experts say it's unlikely large events will happen by summer, officials link 7 wisconsin coronavirus cases to in-person voting",__label__healthcare,2020-04-21
"newsom: it's too soon to lift coronavirus stay-at-home order, california reports highest one-day rise in coronavirus cases | thehill, gavin newsom’s nation-state, if gavin newsom cancels football season, will it give trump a clear shot at reelection?, opinion: time to carefully reopen california",__label__healthcare,2020-04-21
"new york city's coronavirus essential workers are overwhelmingly people of color, new york city subway robberies spike despite massive drop in ridership over coronavirus, the tenuous link between the subway and covid-19, tuesday's headlines: perfect storm edition, new york post editorial board: coronavirus -- congress needs to send the mta another $4 billion in aid",__label__healthcare,2020-04-21
live coronavirus updates,__label__healthcare,2020-04-22
coronavirus cure: when will we have a drug to treat it?,__label__healthcare,2020-04-22
the infection that’s silently killing coronavirus patients,__label__healthcare,2020-04-22
"got coronavirus? you may get a surprise medical bill, too",__label__healthcare,2020-04-22
a mysterious blood-clotting complication is killing coronavirus patients,__label__healthcare,2020-04-22
"coronavirus infections may not be uncommon, tests suggest",__label__healthcare,2020-04-22
coronavirus pandemic in the us,__label__healthcare,2020-04-22
"coronavirus world news: crisis fuels economic chaos, hunger and strongmen",__label__healthcare,2020-04-22
rancho cordova scientists hope to market coronavirus treatment to hospitals in 2 months,__label__healthcare,2020-04-22
nasal spray being tested as potential coronavirus treatment,__label__healthcare,2020-04-22
essential workers have found their power during the coronavirus pandemic,__label__healthcare,2020-04-22
'a race against time': results expected soon on experimental coronavirus drug,__label__healthcare,2020-04-22
"coronavirus live updates: harvard will not accept stimulus funds, california to start scheduling certain surgeries again",__label__healthcare,2020-04-22
what scientists want to know about the coronavirus,__label__healthcare,2020-04-22
"as doctors see coronavirus-kidney link, worry grows over dialysis machines",__label__healthcare,2020-04-22
could an old vaccine be a godsend for new coronavirus?,__label__healthcare,2020-04-22
people are dying of coronavirus because we're too slow at clinical research,__label__healthcare,2020-04-22
"fda greenlights first coronavirus test with at-home sample, trump targets immigration",__label__healthcare,2020-04-22
experimental coronavirus treatment colchicine to be sent to patients' homes hours after covid-19 diagnosis,__label__healthcare,2020-04-22
"coronavirus at meatpacking plants worse than first thought, usa today investigation finds",__label__healthcare,2020-04-22
live updates: deaths suggest coronavirus was spreading in u.s. earlier than previously thought; cdc director warns of devastating second wave,__label__healthcare,2020-04-22
cdc chief warns of 'even more difficult' wave of coronavirus next winter,__label__healthcare,2020-04-22
coronavirus pandemic: updates from around the world,__label__healthcare,2020-04-22
coronavirus vaccine update as 70 potential treatments being rapidly developed across the globe,__label__healthcare,2020-04-22
online treatment for opioid addiction gets a boost under coronavirus rules : shots - health news,__label__healthcare,2020-04-22
new treatment for coronavirus ready to start in toledo,__label__healthcare,2020-04-22
bigger checks? relief for states? what could be in the next coronavirus bill,__label__healthcare,2020-04-22
"coronavirus israel live: government approves lockdown on independence day, ramadan",__label__healthcare,2020-04-22
"during coronavirus, healthy hospital vending machines are in demand",__label__healthcare,2020-04-22
live updates: d.c. reports another single-day high in covid-19 deaths; virginia lawmakers kick off meeting outside,__label__healthcare,2020-04-22
coronavirus live updates: u.s. deaths started sooner than we thought; winter could bring another wave; threat to meat supply,__label__healthcare,2020-04-22
"murals salute health care workers, inspire residents in philadelphia",__label__healthcare,2020-04-22
medical workers’ looming mental-health crisis,__label__healthcare,2020-04-22
a top immunologist on why coronavirus is killing more african-americans,__label__healthcare,2020-04-22
"coronavirus tests were delayed by contamination at cdc lab, report says",__label__healthcare,2020-04-22
how to get your kids to treat you like their teacher,__label__healthcare,2020-04-22
"coronavirus: martin shkreli seeks early prison release to work on covid-19 treatment, avoid infection, pharma bro martin shkreli is engaged, martin shkreli asks for release him from prison — to develop a coronavirus cure, shkreli seeks early prison release to help with covid ‘cure’, shkreli seeks early prison release to help with covid-19 'cure'",__label__healthcare,2020-04-22
"dr. oz now says of covid-19 treatment hydroxychloroquine: “we are better off waiting”, more deaths, no benefit from malaria drug in va virus study, trump and fox news suggest caution on hydroxychloroquine studies (after one undercuts their case), fox news falls out of love with hydroxychloroquine",__label__healthcare,2020-04-22
"nurses read names of colleagues who died of covid-19 in protest outside white house, 'we're beyond angered': fed-up nurses file lawsuits, plan protest at white house over lack of coronavirus protections, video: nurses read names of dead colleagues at white house protest - business insider",__label__healthcare,2020-04-22
"here's how much coronavirus testing is enough : shots - health news, inside america’s unending testing snafu",__label__healthcare,2020-04-22
"mcdonald's to give free 'thank you meals' for first responders, health care workers starting wednesday, over 150 mcdonald’s in n.j. giving free meals to thank coronavirus healthcare workers, first responders, mcdonald's promotes 'thank you meals' for first responders and earth day campaigns go virtual: wednesday wake-up call, mcdonald's 'thank you meals': how healthcare workers can get free food",__label__healthcare,2020-04-22
"thief swipes puppy from home of nurse treating coronavirus patients, police call on public to help find a puppy stolen from the home of an er nurse helping fight coronavirus, 11-week-old puppy stolen from er nurse’s home, police search for suspect who stole e.r. nurse’s puppy from concord home, puppy taken from home of nurse treating coronavirus patients",__label__healthcare,2020-04-22
"los angeles county hospitals say people are waiting too long to seek treatment over coronavirus fears, testing shows at least 200k in la county may have been infected with coronavirus, coronavirus outbreak: 43 test positive for covid-19 at homeless shelter on skid row in downtown los angeles, latest l.a. county coronavirus cases, what can coronavirus antibody tests actually tell us?",__label__healthcare,2020-04-22
"top vaccine doctor says his concern about trump's coronavirus treatment theory led to ouster from federal agency, director of key federal vaccine agency says his departure was retaliation, vaccine expert removed from federal post after daring to criticize coronavirus treatment pushed by trump: report, update: top us vaccine expert says he was ‘forced out’ of federal agency, read: statement from leader of federal vaccine agency about his reassignment",__label__healthcare,2020-04-22
"russian medical workers say coronavirus is ravaging their ranks. but hospital chiefs are silent., coronavirus crisis tests putin's grip on power in russia, france plans to reset its relationship with russia. will that work?, russia’s oligarchs expected to dig deep during the crisis, better the virus than putin? in the information war against russia, covid-19 is just another weapon",__label__healthcare,2020-04-22
"director of key us vaccine agency leaves role suddenly amid coronavirus, director of key trump administration vaccine agency suddenly departs, director of us agency key to vaccine development leaves role suddenly, update 1-us replaces director of agency overseeing covid-19 vaccines, drugs, director of agency behind vaccine development leaves role | thehill",__label__healthcare,2020-04-22
"trump's immigration pause falls well short of full ban, trump’s latest attempt to limit immigration isn’t really about the coronavirus, trump says immigration order will apply only to green cards and will last 60 days, no, mr. president, your immigration powers are not unlimited, immigrants are not the problem but part of the coronavirus solution",__label__healthcare,2020-04-22
"california coronavirus tests to cover some asymptomatic people, california reports highest one-day rise in coronavirus cases | thehill, california shutdown to continue, coronavirus testing to increase, newsom's coronavirus contract needs legislative oversight, watch: california governor gives coronavirus update",__label__healthcare,2020-04-22
"more good news on remdesivir's power to treat covid-19, gilead sciences races to manufacture remdesivir, but chemistry has speed limits, experimental anti-viral drug remdesivir used to treat covid-19 patients, biotech etfs gaining on progress in coronavirus treatment, 3 great reasons to buy gilead sciences stock",__label__healthcare,2020-04-22
"how coronavirus infected some, but not all, in a restaurant, coronavirus china: restaurant air con spread illness to nine, coronavirus pandemic | how covid-19 spread through an ac duct at a chinese restaurant, from 1 to 9: how ac air spread coronavirus to 3 families at a restaurant in china",__label__healthcare,2020-04-22
"protests erupt again over coronavirus shelter-in-place orders. here's why some governors aren't budging, maryland secures half a million coronavirus test kits from south korea : coronavirus live updates, hogans crush trump on coronavirus tests and trust | commentary, our say: coronavirus protestors in annapolis show disregard for human life",__label__healthcare,2020-04-22
"coronavirus nj: 2 covid-19 patients recovering after experimental plasma treatment, 2 new jersey coronavirus patients recovering after plasma treatment, hospital says, pa. woman becomes 1st american red cross donor to save 2 covid-19 patients, n.j. patients who got experimental plasma treatment making ‘remarkable’ recovery, hospital says, coronavirus latest: two virtua health patients recovering after receiving plasma transfusion",__label__healthcare,2020-04-22
"french researchers to test nicotine patches on coronavirus patients, study: nicotine may lower risk of catching coronavirus",__label__healthcare,2020-04-22
"trump says coronavirus hospital ship usns comfort will leave new york city, new york gov. cuomo says he had a 'productive' white house meeting with trump on coronavirus, andrew cuomo’s coronavirus nursing home policy proves tragic: goodwin, a new york breakthrough on testing and tracing",__label__healthcare,2020-04-22
"doj clears u.s. drug companies to distribute hydroxychloroquine to coronavirus patients, ag william barr gives preferential treatment to company pushing hydroxychloroquine",__label__healthcare,2020-04-22
"antibody tests could be key to reopening the country. here's how they work., coronavirus testing: chicago's first covid-19 antibody testing site opens in lincoln park, coronavirus antibody tests offer big promise, but can they deliver?, confused about coronavirus tests? a look at what’s available and what they measure.",__label__healthcare,2020-04-22
"two cats in new york are first pets known to have coronavirus in the us, 2 cats in ny state test positive for virus, two cats become first pets in the us to test positive for coronavirus, usda says, 2 cats in ny state test positive for coronavirus, two cats test positive for coronavirus in new york – the first pets to be infected in the us",__label__healthcare,2020-04-22
"the future of successful coronavirus response: mass testing at work and in church and self-administered tests, quest diagnostics takes steps to shore up its balance sheet, ramps up coronavirus antibody testing as profit plunges, quest diagnostics to start testing blood for covid-19 antibodies, delta air lines (dal) reports q1 loss, lags revenue estimates",__label__healthcare,2020-04-22
"‘instead of coronavirus, the hunger will kill us.’ a global food crisis looms.",__label__healthcare,2020-04-22
"chinese national scolded by ghanaian police for violating lockdown, racism against black people in china amid pandemic sparks diplomatic crisis, coronavirus: mauritania 'beats' virus, tanzanian mp infected, nigeria video: $2 billion worth chinese business park vandalized to protest attacks on africans in china",__label__healthcare,2020-04-22
"coronavirus in illinois updates: here’s what’s happening wednesday, mayor lightfoot says stay-at-home order could go into june; gov. pritzker has not given specifics about reopening, idph: 2,049 new covid-19 cases; 98 additional deaths, editorial: to mayors outside chicago growing impatient with coronavirus shutdown: illinois is not ready yet, commentary: gop leader to gov. pritzker: stop blaming trump and fix illinois’ coronavirus response",__label__healthcare,2020-04-22
"governor signs executive order making licensing easier for healthcare workers, discusses economic reopening during covid-19, kansas gov. laura kelly’s emergency powers in doubt past april 30 amid covid-19 threat, gov. laura kelly explains 'gradual process' to reopen ks businesses, gov. kelly talks reopening, executive order, up to 26 weeks: kansas unemployment insurance benefits expansion",__label__healthcare,2020-04-22
"doctors warn coronavirus causing sudden strokes in some younger patients | thehill, what are 'covid toes'? new skin condition possibly linked to coronavirus, coronavirus daily symptoms: a 29-year old's coronavirus journey - business insider, coronavirus: 1 in 300 barnstable county residents get symptoms",__label__healthcare,2020-04-22
"las vegas mayor wants to reopen city businesses, assuming 'everybody is a carrier' of the coronavirus | thehill, las vegas mayor won't give businesses social distancing guidelines for reopening: 'they better figure it out. that's their job', las vegas mayor carolyn goodman battles anderson cooper, jimmy kimmel: ‘carolyn goodman should resign’ after cnn interview, ‘find out the facts afterward’: las vegas mayor trends after saying casinos reopen now",__label__healthcare,2020-04-22
"is this covid-19 mask efficacy chart accurate?, 20 places to buy face masks and cloth coverings online, mask confusion: health officials give conflicting messages, face masks: should i wear a mask? when and how to use face masks",__label__healthcare,2020-04-22
"free nuggets! wendy's offering friday freebie as part of its coronavirus response, wendy's offers free chicken nuggets as part of 'groupnug' promotion amid coronavirus pandemic, wendy's giving away free chicken nuggets nationwide on friday, wendy's giving away free chicken nuggets on friday",__label__healthcare,2020-04-22
"trump aides explore ways to get a 'frustrated' president out of washington, trump prepares to hit the road, is trump’s social-distancing self-control about to crack?",__label__healthcare,2020-04-22
"for 25 years he cared for austin nursing home patients. on friday, he died of coronavirus, family, friends mourn loss of certified nursing assistant to coronavirus",__label__healthcare,2020-04-22
"colorado governor announces certain businesses can reopen this week | thehill, gov. polis: colorado's public schools may not return to in-person learning until january 2021, what to know wednesday about the covid-19 outbreak, polis says 'testing alone' won't be enough to reopen colorado, emphasizes multi-pronged approach, colorado pandemic simulation exposed communication gaps before coronavirus’s arrival, state records show",__label__healthcare,2020-04-22
"carle trying experimental covid-19 treatment | coronavirus, bryan treating covid-19 patients with convalescent plasma, coronavirus in brevard, april 22: 225 test positive for covid-19, 1 new case in palm bay, bryan health using plasma treatment option for covid-19 patients, game-changing coronavirus treatment might’ve just saved a child’s life",__label__healthcare,2020-04-22
"coronavirus live updates: trump reverses course, says it's 'too soon' for georgia to open",__label__healthcare,2020-04-23
vaccine chief says he was removed after questioning drug trump promoted,__label__healthcare,2020-04-23
new zealand nurse on treating pm boris johnson,__label__healthcare,2020-04-23
the infection that’s silently killing coronavirus patients,__label__healthcare,2020-04-23
coronavirus: test data 'reassuring for front-line healthcare workers',__label__healthcare,2020-04-23
drugmakers prepare to make coronavirus treatments,__label__healthcare,2020-04-23
"nearly all covid-19 patients put on ventilators in new york's largest health system died, study finds",__label__healthcare,2020-04-23
people are dying of coronavirus because we're too slow at clinical research,__label__healthcare,2020-04-23
a new york doctor fighting coronavirus — and student debt,__label__healthcare,2020-04-23
three ways to make coronavirus drugs in a hurry,__label__healthcare,2020-04-23
health care workers seek to flatten covid-19's 'second curve'—their rising mental anguish,__label__healthcare,2020-04-23
world coronavirus tracker: live coverage,__label__healthcare,2020-04-23
medical workers’ looming mental-health crisis,__label__healthcare,2020-04-23
"fda greenlights first coronavirus test with at-home sample, trump targets immigration",__label__healthcare,2020-04-23
nasal spray being tested as potential coronavirus treatment,__label__healthcare,2020-04-23
hospitals aim to resume procedures postponed by coronavirus,__label__healthcare,2020-04-23
china's new coronavirus cases spur fresh limits,__label__healthcare,2020-04-23
a day in the life of a doctor treating homeless people in the age of coronavirus,__label__healthcare,2020-04-23
coronavirus vaccine update as 70 potential treatments being rapidly developed across the globe,__label__healthcare,2020-04-23
"hero registry asks health care workers to share their stories, fears battling coronavirus",__label__healthcare,2020-04-23
white house still scrambling to cover virus treatment for the uninsured,__label__healthcare,2020-04-23
the path forward: coronavirus treatment acceleration program,__label__healthcare,2020-04-23
online treatment for opioid addiction gets a boost under coronavirus rules : shots - health news,__label__healthcare,2020-04-23
vigil held for wilmington doctor fighting coronavirus,__label__healthcare,2020-04-23
medical workers return to work after recovering from coronavirus. but are they immune? no one knows for sure,__label__healthcare,2020-04-23
"coronavirus at meatpacking plants worse than first thought, usa today investigation finds",__label__healthcare,2020-04-23
kushner-backed program chartering flights to address hospital shortages raises questions in congress,__label__healthcare,2020-04-23
essential workers share their coronavirus pandemic stories,__label__healthcare,2020-04-23
why wearing gloves to the grocery store isn't fighting coronavirus,__label__healthcare,2020-04-23
china will give who more money; spain's daily death toll steady,__label__healthcare,2020-04-23
"veterans affairs study found malaria drug led to more deaths, no benefits in coronavirus patients",__label__healthcare,2020-04-23
bigger checks? relief for states? what could be in the next coronavirus bill,__label__healthcare,2020-04-23
the stock market is rising on hope for a pharma solution to coronavirus — here's how close we are,__label__healthcare,2020-04-23
"top vaccine doctor says his concern about trump's coronavirus treatment theory led to ouster from federal agency, director of key federal vaccine agency says his departure was retaliation, top vaccine official says he was demoted for resisting unproven drug pushed by trump, democratic senator calls for investigation into reassignment of key hhs official | thehill",__label__healthcare,2020-04-23
"'a race against time': results expected soon on experimental coronavirus drug, results expected soon on experimental coronavirus drug trial",__label__healthcare,2020-04-23
"banks gave richest clients ‘concierge treatment’ for pandemic aid, house is poised to vote on a nearly $500 billion coronavirus relief bill. here's what's in it, 5 things to know about the latest coronavirus relief bill | thehill, paycheck protection program tips on small business loans, shake shack is not the problem",__label__healthcare,2020-04-23
"boston dynamics’ spot robot is helping hospitals remotely treat coronavirus patients, how boston dynamics's doglike robot is helping a local hospital respond to the coronavirus, boston dynamics open-sources health care robotics toolkit for telemedicine, vitals inspection, and disinfection, boston dynamics’ spot finds a new career in telemedicine amid covid-19 pandemic, boston dynamics’ robot dog is chipping in to help covid-19 patients",__label__healthcare,2020-04-23
"in new york’s largest hospital system, 88 percent of coronavirus patients on ventilators didn’t make it, nearly all ny coronavirus patients suffered underlying health issue, study finds, nearly all covid-19 patients put on ventilators in new york’s largest health system died, study finds, coronavirus updates: de blasio says 2 million new yorkers could become food insecure due to pandemic, coronavirus study in new york city showed 88% of patients on ventilators died, majority that had covid-19 did",__label__healthcare,2020-04-23
"the dangerous morality behind the 'open it up' movement, the dangerous morality behind the ‘open it up’ movement",__label__healthcare,2020-04-23
"nova scotia massacre victim was pregnant nurse treating coronavirus patients, canadian police failed to issue timely public alert about nova scotia gunman, how canada can move forward from the deadliest shooting event in its history, canada shooting: police defend lack of emergency alert",__label__healthcare,2020-04-23
