headlines,content,date,headlines_en,content_en
samen tijdens corona," edloket onplooit nieuwe talentenamersfoort het is door de coronacrisis niet eenvoudig om het werk voort te zetten, maar bij edloket maken ze er het beste van. bij deze organisatie ...",2020-05-15,together during corona,"edloket onplooit new talent amersfoort it is not easy through the corona crisis to continue the work, but edloket they make the most of it. in this organization ..."
'dubbele kans om verkeersslachtoffer te worden door corona',verkeersdeelnemers lopen sinds de uitbraak van het nieuwe coronavirus en de maatregelen daartegen twee keer zoveel kans om slachtoffer te worden van ...,2020-05-15,'Double opportunity to be road kill by corona',motorists are since the outbreak of the new coronavirus and measures against twice as likely to be a victim of ...
zweedse arts met corona overleden,in zweden is een 62-jarige arts die besmet was met covid-19 dinsdag overleden. dat meldt de zweedse krant aftonbladet. hij is de tweede overleden dokter in ...,2020-05-15,Swedish doctor corona deceased,in Sweden is a 62-year-old doctor who was infected with covid-19 Tuesday deceased. which reports the Swedish Aftonbladet newspaper. He is the second deceased doctor ...
corona heeft (nog) geen invloed op koopwoningen,"het cbs meldt vrijdag de grootste krimp in consumptie ooit gemeten. door de coronacrisis gaven consumenten in maart 6,7 procent minder uit dan een jaar ...",2020-05-15,Corona has not (yet) affected apartments,"Statistics Netherlands reported Friday ever recorded the largest contraction in consumption. by corona crisis gave consumers in March, 6.7 percent less than a year ..."
'sterkste krimp economie sinds financiële crisis door corona',de nederlandse economie is in het eerste kwartaal waarschijnlijk flink gekrompen als gevolg van de coronacrisis. het gaat naar verwachting om de grootste ...,2020-05-15,'Strongest shrinking economy since financial crisis corona',the Dutch economy in the first quarter probably significantly shrunk due to the corona crisis. it is expected to become the largest ...
"britse dokter over corona: ""het was alsof we een emmer water over ons heen kregen""",in het ziekenhuis van elly stanton stierf de eerste britse verpleegster aan corona. aan vrt nws vertelt ze over haar werk en geeft ze advies voor de toekomst.,2020-05-15,"British doctor about Corona: ""It was like we got a bucket of water over us""",hospital elly stanton died the first British nurse corona. to vrt nws she talks about her work and give them advice for the future.
voorjaarsnota 2020 provincie limburg in teken van corona,de provincie limburg heeft de afgelopen maanden diverse directe maatregelen getroffen in het kader van de coronacrisis.,2020-05-15,2020 Spring Memorandum province Limburg in sign corona,the province Limburg has taken in recent months several immediate measures under the corona crisis.
druktemaker kees van amstel - co-assistenten in tijden van corona - de nieuws bv,"34;ze trof veel doden, werd niet ingewerkt en kreeg door de slechte beschermingsmiddelen binnen een week corona,” vertelt kees van amstel over zijn...",2020-05-15,troublemaker kees amstel - interns in times of corona - the news bv,"34, she found many dead, was not incorporated and received by the poor protection within a week corona, ""says Kees van Amstel are ..."
"woonzorgcentrum heerde verloor 23 bewoners aan corona, hoe ga je dan verder?","in brinkhoven, het woonzorgcentrum in het hart van heerde, stierven 23 mensen aan corona, 12 werden er ziek maar overleefden het virus. de afgelopen drie ...",2020-05-15,"woonzorgcentrum heerde lost 23 residents corona, how do you proceed?","in brinkhoven, the nursing home in the heart of heerde, killed 23 people in Corona, 12 were ill but survived the virus. Over the past three ..."
gov tech talk video show belicht effecten corona crisis op digitale transformatie,dutch it channel en gov tech talk hebben weer en nieuwe video show geproduceerd met moderator danny frietman. hierbij staat de volgende vraag ...,2020-05-15,gov tech talk video show highlights effects corona crisis digital transformation,dutch IT channel and gov tech talk again and have produced new video show with a moderator danny Frietman. here is the next question ...
duikeling gewerkte uren door corona | financieel | telegraaf.nl,volgens het centraal planbureau (cpb) werden er eind maart gemiddeld 13 procent minder uren per week gewerkt dan begin maart. door de intelligente ...,2020-05-15,plunge hours worked by corona | financial | telegraaf.nl,according to the Central Planning Bureau (CPB) were late March averaged 13 percent worked fewer hours per week than early March. The intelligent ...
"'degene die op een paard stapt, kan zich beter beschermen tegen corona'","het coronavirus beïnvloedt nog steeds het dagelijks leven van mensen over de hele wereld. zolang er echter geen vaccin tegen het virus is, blijven.",2020-05-15,"""The one who gets on a horse, can help protect against corona '","coronavirus still affects people's daily lives all over the world. But as long as there is no vaccine against the virus, remain."
het denkbeest uit ljubljana buigt zich over corona,de sloveense filosoof slavoj zizek schreef razendsnel een pamflet over de huidige pandemie. deze week verscheen het in nederlandse vertaling. zizek...,2020-05-15,the thinking beast from ljubljana bends over corona,The Slovenian philosopher Slavoj Zizek quickly wrote a pamphlet about the current pandemic. published this week in the Dutch translation. zizek ...
na nieuwe uitbraak wil wuhan alle 11 miljoen inwoners testen op corona,"na een nieuwe, maar kleine, corona-uitbraak in wuhan neemt china drastische maatregelen: alle 11,1 miljoen inwoners moeten worden getest op het virus.",2020-05-15,after new outbreak wuhan wants to test all 11 million inhabitants corona,"after a new but small, coronavirus outbreak in wuhan china takes drastic measures: all 11.1 million people should be tested for the virus."
nederbelgen klaar met strenge corona-regels belgië: 'we zijn net gevangenen',steeds meer nederlanders die in belgië wonen raken gefrustreerd over de belgische strenge aanpak van de coronacrisis. vooral het feit dat de grenzen ...,2020-05-15,"Belgians finished down strict rules corona Belgium: ""We are like prisoners'",increasingly frustrated Dutch living in Belgium about the Belgian clampdown Corona crisis. especially the fact that the boundaries ...
